train_number,train_name,from_station_code,departure,to_station_code,arrival,distance,duration_hours,duration_minutes,sleeper,chair_car,first_class,first_ac,second_ac,third_ac,return_train,train_type,total_seats
56317,Kochuveli_nagercoil_passenger,KCVL,10:40:00,NCJ,13:15:00,78,2,35,0,0,0,0,0,0,56318,PASS,426
56318,Nagercoil_kochuveli_passenger,NCJ,7:55:00,KCVL,10:20:00,77,2,25,0,0,0,0,0,0,56317,PASS,412
56319,Nagercoil_coimbatore_passenger,NCJ,7:30:00,CBE,20:45:00,532,13,15,0,0,0,0,0,0,56320,PASS,432
56320,Coimbatore_nagercoil_passenger,CBE,7:10:00,NCJ,20:25:00,532,13,15,0,0,0,0,0,0,56319,PASS,412
56321,Kanyakumari_tirunelveli_passenger,CAPE,18:10:00,TEN,20:40:00,89,2,30,0,0,0,0,0,0,,PASS,397
56323,Coimbatore_mangalore_fast_passenger,CBE,7:40:00,MAQ,20:00:00,408,12,20,0,0,0,0,0,0,56324,PASS,473
56324,Coimbatore_fast_passenger,MAQ,7:45:00,CBE,19:35:00,408,11,50,0,0,0,0,0,0,56323,PASS,406
56325,Nagercoil_cape_passenger,NCJ,16:45:00,CAPE,17:05:00,15,0,20,0,0,0,0,0,0,,PASS,493
56331,Punalur_kollam_passenger,PUU,8:15:00,QLN,9:35:00,45,1,20,0,0,0,0,0,0,56332,PASS,322
56332,Kollam_punalur_passenger,QLN,6:30:00,PUU,7:55:00,45,1,25,0,0,0,0,0,0,56331,PASS,417
56333,Punalur_kollam_passenger,PUU,10:35:00,QLN,12:00:00,45,1,25,0,0,0,0,0,0,56332,PASS,415
56334,Kollam_punalur_passenger,QLN,8:40:00,PUU,10:05:00,45,1,25,0,0,0,0,0,0,56333,PASS,340
56335,Punalur_kollam_passenger,PUU,13:50:00,QLN,15:15:00,45,1,25,0,0,0,0,0,0,56334,PASS,440
56336,Kollam_punalur_passenger,QLN,11:00:00,PUU,12:25:00,45,1,25,0,0,0,0,0,0,56337,PASS,403
56337,Punalur_kollam_passenger,PUU,19:15:00,QLN,20:40:00,45,1,25,0,0,0,0,0,0,56338,PASS,440
56338,Kollam_punalur_passenger,QLN,17:30:00,PUU,18:50:00,45,1,20,0,0,0,0,0,0,56337,PASS,475
56370,Ernakulam_guruvayur_passenger,ERS,6:00:00,GUV,8:35:00,97,2,35,0,0,0,0,0,0,56371,PASS,482
56371,Guruvayur_ernakulam_passenger,GUV,6:45:00,ERS,9:20:00,97,2,35,0,0,0,0,0,0,56370,PASS,398
56373,Guruvayur_thrissur_passenger,GUV,8:55:00,TCR,9:35:00,23,0,40,0,0,0,0,0,0,56374,PASS,346
56374,Thrissur_guruvayur_passenger,TCR,10:10:00,GUV,10:45:00,23,0,35,0,0,0,0,0,0,56373,PASS,399
56375,Guruvayur_ernakulam_passenger,GUV,13:20:00,ERS,16:00:00,97,2,40,0,0,0,0,0,0,56376,PASS,307
56376,Ernakulam_guruvayur_passenger,ERS,20:15:00,GUV,23:15:00,97,3,0,0,0,0,0,0,0,56375,PASS,448
56377,Allepey_kayankulam_passenger,ALLP,5:05:00,KYJ,6:15:00,44,1,10,0,0,0,0,0,0,56378,PASS,430
56378,Kayankulam_alappuzha_passenger,KYJ,21:40:00,ALLP,22:40:00,44,1,0,0,0,0,0,0,0,56377,PASS,317
56379,Ernakulam_alappuzha_passenger,ERS,7:30:00,ALLP,9:30:00,57,2,0,0,0,0,0,0,0,,PASS,382
56380,Kayankulam_ernakulam_passenger,KYJ,8:35:00,ERS,11:40:00,101,3,5,0,0,0,0,0,0,56381,PASS,492
56381,Ernakulam_kayankulam_passenger,ERS,10:00:00,KYJ,12:20:00,101,2,20,0,0,0,0,0,0,56380,PASS,462
56382,Kayankulam_ernakulam_passenger,KYJ,13:00:00,ERS,15:25:00,101,2,25,0,0,0,0,0,0,56381,PASS,376
56383,Ernakulam_kayankulam_passenger,ERS,18:00:00,KYJ,21:15:00,101,3,15,0,0,0,0,0,0,56382,PASS,498
56384,Alappuzha_ernakulam_passenger,ALLP,17:45:00,ERS,19:30:00,57,1,45,0,0,0,0,0,0,,PASS,500
56385,Ernakulam_kottayam_passenger,ERS,7:30:00,KTYM,9:25:00,60,1,55,0,0,0,0,0,0,56386,PASS,372
